,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2019-12-31,83.66600036621094,-0.9999,0.159,0.761,0.08,81.0,84.25800323486328,80.41600036621094,51428500.0
2020-01-02,86.052001953125,-0.9997,0.125,0.796,0.079,84.9000015258789,86.13999938964844,84.34200286865234,47660500.0
2020-01-03,88.60199737548828,-0.9963,0.103,0.805,0.092,88.0999984741211,90.80000305175781,87.38400268554688,88892500.0
2020-01-06,90.30799865722656,-0.9996,0.104,0.839,0.057,88.09400177001953,90.31199645996094,88.0,50665000.0
2020-01-07,93.81199645996094,-1.0,0.186,0.745,0.069,92.27999877929688,94.32599639892578,90.6719970703125,89410500.0
2020-01-08,98.4280014038086,-0.9999,0.136,0.799,0.065,94.73999786376953,99.697998046875,93.64600372314453,155721500.0
2020-01-09,96.26799774169922,-0.9997,0.131,0.784,0.085,99.41999816894531,99.76000213623047,94.5739974975586,142202000.0
2020-01-10,95.62999725341797,-0.9999,0.129,0.804,0.067,96.35800170898438,96.98799896240234,94.73999786376953,64797500.0
2020-01-13,104.97200012207031,-0.9998,0.144,0.774,0.081,98.69999694824219,105.1259994506836,98.4000015258789,132588000.0
2020-01-14,107.58399963378906,-0.9999,0.158,0.772,0.071,108.85199737548828,109.48200225830078,104.9800033569336,144981000.0
2020-01-15,103.69999694824219,-0.9998,0.142,0.768,0.089,105.9520034790039,107.56800079345703,103.35800170898438,86844000.0
2020-01-16,102.697998046875,-0.9998,0.13,0.801,0.07,98.75,102.89199829101562,98.43399810791016,108683500.0
2020-01-17,102.0999984741211,-0.9999,0.156,0.779,0.065,101.52200317382812,103.13400268554688,100.63200378417969,68145500.0
2020-01-21,109.44000244140625,-0.9997,0.119,0.814,0.067,106.05000305175781,109.71600341796875,105.68199920654297,89017500.0
2020-01-22,113.91200256347656,-0.9999,0.164,0.768,0.068,114.37799835205078,118.9000015258789,111.81999969482422,156845000.0
2020-01-23,114.44000244140625,-0.9996,0.134,0.763,0.104,112.8499984741211,116.4000015258789,111.12000274658203,98255000.0
2020-01-24,112.96399688720703,-0.9997,0.14,0.76,0.099,114.1259994506836,114.77200317382812,110.85199737548828,71768000.0
2020-01-27,111.60399627685547,-0.9949,0.111,0.787,0.102,108.39800262451172,112.88800048828125,107.85600280761719,68040500.0
2020-01-28,113.37999725341797,-0.9999,0.151,0.767,0.082,113.697998046875,115.36199951171875,111.61599731445312,58942500.0
2020-01-29,116.197998046875,-0.9999,0.147,0.772,0.081,115.13800048828125,117.95999908447266,113.48600006103516,89007500.0
2020-01-30,128.16200256347656,-0.9999,0.13,0.809,0.06,126.48400115966797,130.17599487304688,123.5999984741211,145028500.0
2020-01-31,130.11399841308594,-0.9999,0.134,0.803,0.062,128.0,130.60000610351562,126.50399780273438,78596500.0
2020-02-03,156.0,-0.998,0.119,0.773,0.108,134.73800659179688,157.22799682617188,134.70399475097656,235325000.0
2020-02-04,177.41200256347656,-0.9999,0.171,0.745,0.084,176.5919952392578,193.79800415039062,166.7760009765625,304694000.0
2020-02-05,146.94000244140625,-0.9999,0.15,0.773,0.076,164.65199279785156,169.1959991455078,140.82200622558594,242119000.0
2020-02-06,149.79200744628906,-0.9999,0.156,0.762,0.082,139.98399353027344,159.16600036621094,137.39999389648438,199404000.0
2020-02-07,149.61399841308594,-0.9999,0.14,0.788,0.072,146.11000061035156,153.9499969482422,146.0,85317500.0
2020-02-10,154.25599670410156,-0.9999,0.157,0.754,0.089,160.0,163.9980010986328,150.47999572753906,123446000.0
2020-02-11,154.87600708007812,-0.9999,0.157,0.768,0.074,153.75799560546875,156.70199584960938,151.60000610351562,58487500.0
2020-02-12,153.45799255371094,-0.9986,0.102,0.825,0.073,155.57400512695312,157.9499969482422,152.6739959716797,60112500.0
2020-02-13,160.8000030517578,-0.9999,0.168,0.743,0.089,148.3679962158203,163.60000610351562,147.0,131446500.0
2020-02-14,160.00599670410156,-0.9999,0.149,0.77,0.081,157.44400024414062,162.593994140625,157.10000610351562,78468500.0
2020-02-18,171.67999267578125,-0.9998,0.13,0.801,0.069,168.32000732421875,172.0,166.4720001220703,81908500.0
2020-02-19,183.48399353027344,-0.9999,0.162,0.761,0.077,184.6999969482422,188.95599365234375,180.20399475097656,127115000.0
2020-02-20,179.8820037841797,-0.9999,0.145,0.791,0.064,182.38999938964844,182.39999389648438,171.98800659179688,88174500.0
2020-02-21,180.1999969482422,-0.9999,0.14,0.776,0.084,181.39599609375,182.61199951171875,176.08999633789062,71574000.0
2020-02-24,166.75799560546875,-0.9998,0.119,0.821,0.06,167.8000030517578,172.6999969482422,164.44000244140625,75961000.0
2020-02-25,159.98199462890625,-0.9998,0.141,0.782,0.077,169.8000030517578,171.32000732421875,157.39999389648438,86452500.0
2020-02-26,155.75999450683594,-0.9999,0.147,0.764,0.089,156.5,162.66200256347656,155.2220001220703,70427500.0
2020-02-27,135.8000030517578,-0.9999,0.148,0.782,0.07,146.0,147.95399475097656,133.8000030517578,121386000.0
2020-02-28,133.59800720214844,-0.9999,0.161,0.743,0.097,125.94000244140625,138.10400390625,122.30400085449219,121114500.0
2020-03-02,148.7239990234375,-0.9998,0.144,0.767,0.089,142.2519989013672,148.73800659179688,137.33399963378906,100975000.0
2020-03-03,149.1020050048828,-0.9997,0.11,0.836,0.054,161.0,161.39599609375,143.2220001220703,128920000.0
2020-03-04,149.89999389648438,-0.9999,0.153,0.781,0.066,152.79200744628906,153.3040008544922,144.9459991455078,75245000.0
2020-03-05,144.9080047607422,-0.9997,0.13,0.78,0.09,144.75399780273438,149.14999389648438,143.61399841308594,54263500.0
2020-03-06,140.6959991455078,-0.9999,0.164,0.765,0.071,138.0,141.39999389648438,136.85400390625,63314500.0
2020-03-09,121.5999984741211,-0.999,0.095,0.842,0.064,121.0780029296875,132.60000610351562,121.0,85368500.0
2020-03-10,129.0659942626953,-0.9999,0.151,0.754,0.095,131.88600158691406,133.60000610351562,121.5999984741211,77972000.0
2020-03-11,126.84600067138672,-0.9999,0.174,0.753,0.073,128.0399932861328,130.71600341796875,122.5999984741211,66612500.0
2020-03-12,112.11000061035156,-1.0,0.196,0.728,0.075,116.1780014038086,118.9000015258789,109.25,94545500.0
2020-03-13,109.3239974975586,-0.9999,0.169,0.752,0.08,119.0,121.51399993896484,100.4000015258789,113201500.0
2020-03-16,89.01399993896484,-0.9999,0.151,0.802,0.046,93.9000015258789,98.9739990234375,88.43399810791016,102447500.0
2020-03-17,86.04000091552734,-1.0,0.199,0.734,0.067,88.00199890136719,94.37000274658203,79.19999694824219,119973000.0
2020-03-18,72.24400329589844,-0.9999,0.133,0.819,0.048,77.80000305175781,80.97200012207031,70.10199737548828,118931000.0
2020-03-19,85.52799987792969,-0.9999,0.134,0.812,0.054,74.94000244140625,90.4000015258789,71.69200134277344,150977500.0
2020-03-20,85.50599670410156,-0.9999,0.138,0.811,0.052,87.63999938964844,95.4000015258789,85.15799713134766,141427500.0
2020-03-23,86.85800170898438,-0.9997,0.133,0.781,0.086,86.72000122070312,88.4000015258789,82.0999984741211,82272500.0
2020-03-24,101.0,-0.9998,0.124,0.812,0.064,95.45999908447266,102.73799896240234,94.80000305175781,114476000.0
2020-03-25,107.8499984741211,-0.9991,0.12,0.786,0.095,109.05000305175781,111.4000015258789,102.22200012207031,106113500.0
2020-03-26,105.63200378417969,-0.9993,0.109,0.823,0.068,109.47799682617188,112.0,102.44999694824219,86903500.0
2020-03-27,102.87200164794922,-0.9996,0.132,0.772,0.096,101.0,105.16000366210938,98.80599975585938,71887000.0
2020-03-30,100.4260025024414,-0.9985,0.099,0.825,0.076,102.052001953125,103.33000183105469,98.24600219726562,59990500.0
2020-03-31,104.80000305175781,-0.9994,0.114,0.808,0.077,100.25,108.59200286865234,99.4000015258789,88857500.0
2020-04-01,96.31199645996094,-0.9989,0.112,0.799,0.089,100.80000305175781,102.79000091552734,95.0199966430664,66766000.0
2020-04-02,90.89399719238281,-0.999,0.118,0.792,0.091,96.20600128173828,98.85199737548828,89.27999877929688,99292000.0
2020-04-03,96.00199890136719,-0.9985,0.105,0.814,0.082,101.9000015258789,103.0979995727539,93.6780014038086,112810500.0
2020-04-06,103.24800109863281,-0.9983,0.117,0.788,0.095,102.23999786376953,104.19999694824219,99.59200286865234,74509000.0
2020-04-07,109.08999633789062,-0.9995,0.129,0.778,0.093,109.0,113.0,106.46800231933594,89599000.0
2020-04-08,109.76799774169922,-0.9994,0.11,0.819,0.071,110.83999633789062,111.44200134277344,106.66600036621094,63280000.0
2020-04-09,114.5999984741211,-0.9965,0.08,0.856,0.063,112.41799926757812,115.03600311279297,111.4219970703125,68250000.0
2020-04-13,130.19000244140625,-0.9995,0.126,0.783,0.091,118.03199768066406,130.39999389648438,116.10600280761719,112377000.0
2020-04-14,141.97799682617188,-0.997,0.11,0.795,0.095,139.79400634765625,148.37600708007812,138.48599243164062,152882500.0
2020-04-15,145.96600341796875,-0.9966,0.076,0.865,0.058,148.39999389648438,150.62600708007812,142.0,117885000.0
2020-04-16,149.04200744628906,-0.9985,0.111,0.799,0.09,143.38800048828125,151.88999938964844,141.343994140625,103289500.0
2020-04-17,150.7779998779297,-0.9998,0.134,0.793,0.073,154.45599365234375,154.99000549316406,149.53199768066406,65641000.0
2020-04-20,149.27200317382812,-0.9994,0.122,0.786,0.092,146.5399932861328,153.11399841308594,142.44200134277344,73733000.0
2020-04-21,137.343994140625,-0.9989,0.115,0.791,0.094,146.0240020751953,150.66600036621094,134.75799560546875,101045500.0
2020-04-22,146.4219970703125,-0.9997,0.129,0.789,0.082,140.79600524902344,146.8000030517578,137.74200439453125,70827500.0
2020-04-23,141.12600708007812,-0.9991,0.111,0.804,0.085,145.52000427246094,146.8000030517578,140.62600708007812,66183500.0
2020-04-24,145.02999877929688,-0.9982,0.097,0.83,0.073,142.16200256347656,146.14599609375,139.63600158691406,66060000.0
2020-04-27,159.75,-0.9988,0.107,0.808,0.085,147.52200317382812,159.8979949951172,147.0,103407000.0
2020-04-28,153.82400512695312,-0.9976,0.106,0.805,0.089,159.1280059814453,161.0,151.33799743652344,76110000.0
2020-04-29,160.1020050048828,-0.97,0.085,0.833,0.082,158.03399658203125,160.63999938964844,156.6320037841797,81080000.0
2020-04-30,156.37600708007812,-0.9994,0.117,0.794,0.089,171.03799438476562,173.96400451660156,152.6999969482422,142359500.0
2020-05-01,140.26400756835938,-0.9986,0.113,0.795,0.092,151.0,154.5540008544922,136.60800170898438,162659000.0
2020-05-04,152.23800659179688,-0.9995,0.107,0.826,0.067,140.1999969482422,152.39999389648438,139.60000610351562,96185500.0
2020-05-05,153.64199829101562,-0.9975,0.096,0.826,0.078,157.95799255371094,159.78399658203125,152.43600463867188,84958500.0
2020-05-06,156.51600646972656,-0.9987,0.097,0.832,0.07,155.3000030517578,157.9600067138672,152.2220001220703,55616000.0
2020-05-07,156.00799560546875,-0.9986,0.09,0.841,0.069,155.44200134277344,159.27999877929688,154.47000122070312,57638500.0
2020-05-08,163.88400268554688,-0.9991,0.086,0.865,0.049,158.75399780273438,164.8000030517578,157.40199279785156,80432500.0
2020-05-11,162.25799560546875,-0.9993,0.11,0.808,0.082,158.1020050048828,164.8000030517578,157.0,82598000.0
2020-05-12,161.8820037841797,-0.9994,0.121,0.791,0.087,165.39999389648438,168.6580047607422,161.60000610351562,79534500.0
2020-05-13,158.19200134277344,-0.9997,0.109,0.823,0.069,164.16600036621094,165.1999969482422,152.66000366210938,95327500.0
2020-05-14,160.66600036621094,-0.9984,0.113,0.793,0.094,156.0,160.6719970703125,152.8000030517578,68411000.0
